country,date,sector,mtco2
China,22/03/2020,Power,10.8266726
China,23/03/2020,Power,11.5638117
China,24/03/2020,Power,11.2659588
China,25/03/2020,Power,10.9194004
China,26/03/2020,Power,11.6275035
China,27/03/2020,Power,11.3980257
China,28/03/2020,Power,11.536649
China,29/03/2020,Power,11.6911953
China,30/03/2020,Power,11.9103701
China,31/03/2020,Power,11.8597913
China,01/04/2020,Power,11.9778085
China,02/04/2020,Power,12.05836
China,03/04/2020,Power,11.8382485
China,04/04/2020,Power,10.3630336
China,05/04/2020,Power,11.1825974
China,06/04/2020,Power,11.6865121
China,07/04/2020,Power,11.8860174
China,08/04/2020,Power,11.889764
China,09/04/2020,Power,11.6537296
China,10/04/2020,Power,11.844805
China,11/04/2020,Power,11.3502568
China,12/04/2020,Power,11.0289878
China,13/04/2020,Power,11.7773666
China,14/04/2020,Power,12.0030979
China,15/04/2020,Power,11.4027089
China,16/04/2020,Power,11.1676111
China,17/04/2020,Power,11.6481097
China,18/04/2020,Power,11.6911953
China,19/04/2020,Power,10.7508044
China,20/04/2020,Power,11.2547191
China,21/04/2020,Power,11.7061817
China,22/04/2020,Power,11.4148853
China,23/04/2020,Power,11.3006146
China,24/04/2020,Power,11.0917429
China,25/04/2020,Power,11.147005
China,26/04/2020,Power,11.5769247
China,27/04/2020,Power,11.7661269
China,28/04/2020,Power,11.2341129
China,29/04/2020,Power,11.7380276
China,30/04/2020,Power,11.5647484
China,01/05/2020,Power,10.2815455
China,02/05/2020,Power,10.3892596
China,03/05/2020,Power,11.3474469
China,04/05/2020,Power,12.152961
China,05/05/2020,Power,12.1435946
China,06/05/2020,Power,12.139848
China,07/05/2020,Power,12.4199047
China,08/05/2020,Power,12.3908687
China,09/05/2020,Power,12.7112011
China,10/05/2020,Power,11.7876697
China,11/05/2020,Power,11.3502568
China,12/05/2020,Power,11.6752724
China,13/05/2020,Power,11.9281664
China,14/05/2020,Power,12.2475621
China,15/05/2020,Power,12.4723568
China,16/05/2020,Power,12.1838703
China,17/05/2020,Power,11.5984676
China,18/05/2020,Power,11.6649693
China,19/05/2020,Power,12.5463517
China,20/05/2020,Power,12.8123587
China,21/05/2020,Power,12.1642008
China,22/05/2020,Power,12.3618327
China,23/05/2020,Power,12.3412266
China,24/05/2020,Power,12.1304816
China,25/05/2020,Power,12.434891
China,26/05/2020,Power,12.2840913
China,27/05/2020,Power,12.1969833
China,28/05/2020,Power,12.068663
China,29/05/2020,Power,11.8064026
China,30/05/2020,Power,11.6537296
China,31/05/2020,Power,11.4308082
China,01/06/2020,Power,11.6509196
China,02/06/2020,Power,12.0677264
China,03/06/2020,Power,12.2625484
China,04/06/2020,Power,12.9725249
China,05/06/2020,Power,13.1626637
China,06/06/2020,Power,12.2569286
China,07/06/2020,Power,11.8429317
China,08/06/2020,Power,12.5866274
China,09/06/2020,Power,13.1270712
China,10/06/2020,Power,13.1364377
China,11/06/2020,Power,13.3265765
China,12/06/2020,Power,13.3312597
China,13/06/2020,Power,13.246025
China,14/06/2020,Power,12.7261874
China,15/06/2020,Power,13.3528025
China,16/06/2020,Power,13.0521397
China,17/06/2020,Power,12.9481721
China,18/06/2020,Power,12.7814494
China,19/06/2020,Power,12.545415
China,20/06/2020,Power,11.8907006
China,21/06/2020,Power,11.6743357
China,22/06/2020,Power,12.5585281
China,23/06/2020,Power,12.7261874
China,24/06/2020,Power,12.4601804
China,25/06/2020,Power,11.0074449
China,26/06/2020,Power,11.8841441
China,27/06/2020,Power,12.6999614
China,28/06/2020,Power,12.645636
China,29/06/2020,Power,12.5257455
China,30/06/2020,Power,12.8207885
China,01/07/2020,Power,13.0568229
China,02/07/2020,Power,12.8104854
China,03/07/2020,Power,12.6802918
China,04/07/2020,Power,12.295331
China,05/07/2020,Power,11.8616646
China,06/07/2020,Power,12.8788604
China,07/07/2020,Power,13.4680098
China,08/07/2020,Power,13.3640422
China,09/07/2020,Power,13.1167681
China,10/07/2020,Power,12.801119
China,11/07/2020,Power,12.6166
China,12/07/2020,Power,12.1988566
China,13/07/2020,Power,12.924756
China,14/07/2020,Power,13.4286707
China,15/07/2020,Power,13.0839856
China,16/07/2020,Power,12.9294392
China,17/07/2020,Power,12.9416156
China,18/07/2020,Power,12.8348382
China,19/07/2020,Power,12.4629903
China,20/07/2020,Power,12.8198518
China,21/07/2020,Power,13.0493297
China,22/07/2020,Power,13.2525816
China,23/07/2020,Power,13.6825013
China,24/07/2020,Power,13.9138525
China,25/07/2020,Power,13.6946777
China,26/07/2020,Power,12.7889426
China,27/07/2020,Power,13.3977614
China,28/07/2020,Power,13.7733558
China,29/07/2020,Power,14.1629999
China,30/07/2020,Power,14.2744606
China,31/07/2020,Power,14.1611266
China,01/08/2020,Power,13.6590852
China,02/08/2020,Power,13.5879002
China,03/08/2020,Power,14.85799
China,04/08/2020,Power,14.9188719
China,05/08/2020,Power,15.0125364
China,06/08/2020,Power,15.1343001
China,07/08/2020,Power,14.9816271
China,08/08/2020,Power,14.5666936
China,09/08/2020,Power,14.4664727
China,10/08/2020,Power,15.13992
China,11/08/2020,Power,15.4143568
China,12/08/2020,Power,14.9104421
China,13/08/2020,Power,14.6950139
China,14/08/2020,Power,15.2092317
China,15/08/2020,Power,15.097771
China,16/08/2020,Power,14.8242709
China,17/08/2020,Power,15.7534221
China,18/08/2020,Power,15.5970025
China,19/08/2020,Power,14.8795329
China,20/08/2020,Power,14.1133578
China,21/08/2020,Power,13.8988662
China,22/08/2020,Power,13.8529706
China,23/08/2020,Power,13.8951196
China,24/08/2020,Power,14.5629471
China,25/08/2020,Power,14.9038856
China,26/08/2020,Power,14.312863
China,27/08/2020,Power,13.8735768
China,28/08/2020,Power,14.1302174
China,29/08/2020,Power,14.0899416
China,30/08/2020,Power,13.9260289
China,31/08/2020,Power,14.3718716
China,01/09/2020,Power,14.1836061
China,02/09/2020,Power,13.7377634
China,03/09/2020,Power,13.2244822
China,04/09/2020,Power,13.0924154
China,05/09/2020,Power,12.8413947
China,06/09/2020,Power,12.8966567
China,07/09/2020,Power,13.2797442
China,08/09/2020,Power,13.2179257
China,09/09/2020,Power,13.6197462
China,10/09/2020,Power,13.0277869
China,11/09/2020,Power,12.5866274
China,12/09/2020,Power,12.532302
China,13/09/2020,Power,12.2494354
China,14/09/2020,Power,12.8835437
China,15/09/2020,Power,11.3270684
China,16/09/2020,Power,11.5448966
China,17/09/2020,Power,12.0894672
China,18/09/2020,Power,11.9805531
China,19/09/2020,Power,11.6538107
China,20/09/2020,Power,11.9805531
China,21/09/2020,Power,11.6538107
China,22/09/2020,Power,11.000326
China,23/09/2020,Power,11.6538107
China,24/09/2020,Power,11.3270684
China,25/09/2020,Power,10.6735837
China,26/09/2020,Power,11.1092401
China,27/09/2020,Power,12.1983813
China,28/09/2020,Power,11.7627249
China,29/09/2020,Power,12.5251237
China,30/09/2020,Power,12.851866
China,01/10/2020,Power,9.95514258
China,02/10/2020,Power,7.30749827
China,03/10/2020,Power,8.04883868
China,04/10/2020,Power,9.53151949
China,05/10/2020,Power,9.95514258
China,06/10/2020,Power,9.53151949
China,07/10/2020,Power,9.63742526
China,08/10/2020,Power,9.31970794
China,09/10/2020,Power,9.31970794
China,10/10/2020,Power,10.4846714
China,11/10/2020,Power,11.3319176
China,12/10/2020,Power,10.0610483
China,13/10/2020,Power,11.6496349
China,14/10/2020,Power,12.1791638
China,15/10/2020,Power,12.7086926
China,16/10/2020,Power,13.1323157
China,17/10/2020,Power,12.8145984
China,18/10/2020,Power,12.1791638
China,19/10/2020,Power,11.5437292
China,20/10/2020,Power,11.6496349
China,21/10/2020,Power,11.8614465
China,22/10/2020,Power,13.4500331
China,23/10/2020,Power,13.02641
China,24/10/2020,Power,12.6027869
China,25/10/2020,Power,12.4968811
China,26/10/2020,Power,12.3909753
China,27/10/2020,Power,12.9205042
China,28/10/2020,Power,12.7086926
China,29/10/2020,Power,12.6027869
China,30/10/2020,Power,12.4968811
China,31/10/2020,Power,12.4968811
China,01/11/2020,Power,12.2543955
China,02/11/2020,Power,10.8191961
China,03/11/2020,Power,12.2543955
China,04/11/2020,Power,11.3711959
China,05/11/2020,Power,12.4751955
China,06/11/2020,Power,12.6959954
China,07/11/2020,Power,13.799995
China,08/11/2020,Power,13.4687951
China,09/11/2020,Power,12.3647955
China,10/11/2020,Power,12.8063953
China,11/11/2020,Power,14.1311948
China,12/11/2020,Power,14.3519948
China,13/11/2020,Power,14.0207949
China,14/11/2020,Power,14.5727947
China,15/11/2020,Power,13.799995
China,16/11/2020,Power,14.2415948
China,17/11/2020,Power,15.1247945
China,18/11/2020,Power,15.2351944
China,19/11/2020,Power,14.2415948
China,20/11/2020,Power,14.2415948
China,21/11/2020,Power,14.9039946
China,22/11/2020,Power,15.0143945
China,23/11/2020,Power,15.2351944
China,24/11/2020,Power,15.0143945
China,25/11/2020,Power,16.559994
China,26/11/2020,Power,14.6831946
China,27/11/2020,Power,14.1311948
China,28/11/2020,Power,13.799995
China,29/11/2020,Power,13.3583951
China,30/11/2020,Power,13.689595
China,01/12/2020,Power,15.6987296
China,02/12/2020,Power,16.2134421
China,03/12/2020,Power,16.4707983
China,04/12/2020,Power,16.2134421
China,05/12/2020,Power,15.5700515
China,06/12/2020,Power,16.4707983
China,07/12/2020,Power,16.4707983
China,08/12/2020,Power,15.6987296
China,09/12/2020,Power,16.3421202
China,10/12/2020,Power,15.8274078
China,11/12/2020,Power,16.4707983
China,12/12/2020,Power,16.084764
China,13/12/2020,Power,15.5700515
China,14/12/2020,Power,15.4413734
China,15/12/2020,Power,16.4707983
China,16/12/2020,Power,15.9560859
China,17/12/2020,Power,16.084764
China,18/12/2020,Power,16.2134421
